TEST,JOB,BIN,SOFTBIN,TNUM,EXT0FORCE,EXT0MODE,EXT0LOWLIMIT,EXT0HIGHLIMIT,EXT1FORCE,EXT1MODE,EXT1LOWLIMIT,EXT1HIGHLIMIT,EXT2FORCE,EXT2MODE,EXT2LOWLIMIT,EXT2HIGHLIMIT,TEMPLATE,MEMORY,SETTING,ALGORITHM,DATA,RESULTTYPE,PARAM1,PARAM2,RESULT0,RESULT1,PARAC,USERF,MEASC
WR_retent_iCHK_2_1V35,,13,629,211002100,1 to 2 step 0.5,3,0,0,0,0,0,0,0,0,0,0,INTERFACE_T,0x3,0x1,0x8,0x0,0x1,0x08,0x0000,0x000A,0x0000,0x02,0x2000,0
WR_MARCH6N_2_1V35,,13,630,211002200,1.0 ;1.6;1.8,3,0,0,0,0,0,0,0,0,0,0,INTERFACE_T,0x3,0x2,0x3,0x0,0x1,0x08,0x0000,0x000A,0x0000,0x02,0x2000,0
WR_MARCH6N_2_1V65,,13,631,211002300,1.65,3,0,0,0,0,0,0,0,0,0,0,INTERFACE_T,0x03,0x02,0x03,0x00,0x01,0x00,0x0000,0x000A,0x0000,0x02,0x2000,0
WiR0_2_1V35,,13,616,211001000,1.35,3,0,0,0,0,0,0,0,0,0,0,INTERFACE_T,0x03,0x01,0x01,0x00,0x01,0x08,0x0000,0x000A,0x0000,0x02,0x2000,0
WiR0_2_1V65,,13,617,211001100,1.65,3,0,0,0,0,0,0,0,0,0,0,INTERFACE_T,0x03,0x01,0x01,0x00,0x01,0x00,0x0000,0x000A,0x0000,0x02,0x2000,0
WiR1_2_1V35,,13,618,211001200,1.35,3,0,0,0,0,0,0,0,0,0,0,INTERFACE_T,0x03,0x01,0x01,0x01,0x01,0x08,0x0000,0x000A,0x0000,0x02,0x2000,0
WiR1_2_1V65,,13,619,211001300,1.65,3,0,0,0,0,0,0,0,0,0,0,INTERFACE_T,0x03,0x01,0x01,0x01,0x01,0x00,0x0000,0x000A,0x0000,0x02,0x2000,0
WR0_2_1V35,,13,620,211001400,1.35,3,0,0,0,0,0,0,0,0,0,0,INTERFACE_T,0x03,0x01,0x02,0x00,0x01,0x08,0x0000,0x000A,0x0000,0x02,0x2000,0
WR0_2_1V65,,13,621,211001500,1.65,3,0,0,0,0,0,0,0,0,0,0,INTERFACE_T,0x03,0x01,0x02,0x00,0x01,0x00,0x0000,0x000A,0x0000,0x02,0x2000,0
WR1_2_1V35,,13,622,211001600,1.35,3,0,0,0,0,0,0,0,0,0,0,INTERFACE_T,0x03,0x01,0x02,0x01,0x01,0x08,0x0000,0x000A,0x0000,0x02,0x2000,0
